Escudería,Totales,Tot.,AU,CH,JA,BA,SA,MI,ER,MO,ES,CA,AS,GB,BE,HU,PB,IT,AZ,SI,US,ME,SP,LV,QA,AB
McLaren,833,27,51,33,40,37,58,33,40,43,12,43,43,56,43,25,33,6,27,28,35,43,EX,44,33
Mercedes,469,27,30,18,18,18,30,6,0,12,40,10,1,10,16,12,12,12,35,16,14,43,33,28,10
Red Bull,451,18,18,25,10,18,16,26,12,1,18,0,10,20,2,20,25,33,18,41,15,20,25,35,25
Ferrari,398,5,12,18,22,21,16,20,28,23,18,27,12,26,12,0,20,6,12,36,22,6,16,4,16
Williams,137,10,7,2,0,6,12,14,3,0,1,0,4,11,0,10,6,6,1,9,0,0,10,16,0
Racing Bulls,92,0,3,4,0,1,0,2,12,6,0,8,0,5,4,15,1,11,0,0,0,10,8,2,0
Aston Martin,89,8,2,0,0,0,4,0,0,2,6,6,8,0,16,10,0,0,6,1,0,3,0,8,9
Haas,79,0,14,1,5,0,0,0,6,0,2,1,0,6,0,9,0,0,2,2,14,8,3,0,6
Sauber,70,6,0,0,0,0,0,0,0,10,4,6,15,2,8,0,4,4,0,4,1,2,6,0,2
Alpine,22,0,0,0,6,0,1,0,0,4,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0
