Escudería,Totales,Tot.,AU,CH,JA,BA,SA,MI,ER,MO,ES,CA,AS,GB,BE,HU,PB,IT,AZ,SI,US,ME,SP,LV,QA,AB,Promedio_GP,STD_GP
McLaren,833,27,78,111,151,188,246,279,319,362,374,417,460,516,559,584,617,623,650,678,713,756,756,800,833,833,33.32,15.442689748443003
Mercedes,469,27,57,75,93,111,141,147,147,159,199,209,210,220,236,248,260,272,307,323,337,380,413,441,451,451,18.04,12.132875449235712
Red Bull,451,18,36,61,71,89,105,131,143,144,162,162,172,192,194,214,239,272,290,331,346,366,391,426,451,451,18.04,10.577019113783114
Ferrari,398,5,17,35,57,78,94,114,142,165,183,210,222,248,260,260,280,286,298,334,356,362,378,382,398,398,15.92,9.110067690930366
Williams,137,10,17,19,19,25,37,51,54,54,55,55,59,70,70,80,86,92,93,102,102,102,112,128,128,128,5.12,5.126077122582791
Racing Bulls,92,0,3,7,7,8,8,10,22,28,28,36,36,41,45,60,61,72,72,72,72,82,90,92,92,92,3.68,4.525115099825271
Aston Martin,89,8,10,10,10,10,14,14,14,16,22,28,36,36,52,62,62,62,68,69,69,72,72,80,89,89,3.56,4.350095784386056
Haas,79,0,14,15,20,20,20,20,26,26,28,29,29,35,35,44,44,44,46,48,62,70,73,73,79,79,3.16,4.298061578587879
Sauber,70,6,6,6,6,6,6,6,6,16,20,26,41,43,51,51,55,59,59,63,64,66,72,72,74,74,2.96,3.845776904605881
Alpine,22,0,0,0,6,6,7,7,7,11,11,11,19,20,20,20,20,20,20,20,20,22,22,22,22,22,0.88,2.06801031589948
