Piloto,Totales,Tot.,AU,CH,JA,BA,SA,MI,ER,MO,ES,CA,AS,GB,BE,HU,PB,IT,AZ,SI,US,ME,SP,LV,QA,AB
L. Norris,423,25,19,18,15,12,26,18,25,18,0,25,25,24,25,0,18,6,15,18,25,33,EX,18,15
M. Verstappen,421,18,18,25,8,18,12,25,12,1,18,0,10,20,2,18,25,25,18,33,15,20,25,30,25
O. Piastri,410,2,32,15,25,25,32,15,15,25,12,18,18,32,18,25,15,0,12,10,10,10,EX,26,18
G. Russell,319,15,20,10,18,10,20,6,0,12,25,10,1,10,15,12,10,18,25,15,6,18,18,15,10
C. Leclerc,242,4,4,12,12,15,6,8,18,15,10,15,0,20,12,0,12,2,8,19,18,4,12,4,12
L. Hamilton,156,1,8,6,10,6,10,12,10,8,8,12,12,6,0,0,8,4,4,17,4,2,4,0,4
A. K. Antonelli,150,12,10,8,0,8,10,0,0,0,15,0,0,0,1,0,2,12,10,1,8,25,15,0,0
A. Albon,73,10,6,2,0,2,10,10,2,0,0,0,4,8,0,10,6,0,0,3,0,0,0,0,0
C. Sainz,64,0,1,0,0,4,2,4,1,0,1,0,0,3,0,0,0,15,1,6,0,0,10,16,0
F. Alonso,56,0,0,0,0,0,0,0,0,2,6,6,2,0,10,4,0,0,6,1,0,3,0,8,8
N. Hulkenberg,51,6,0,0,EX,0,0,0,0,10,4,2,15,0,0,0,0,0,0,4,0,2,6,0,2
I. Hadjar,51,0,0,4,0,1,0,2,8,6,0,0,0,1,0,15,1,1,0,0,0,4,8,0,0
O. Bearman,41,0,4,1,1,0,0,0,0,0,0,0,0,2,0,8,0,0,2,2,12,8,1,0,0
L. Lawson,38,0,0,0,0,0,0,0,4,0,0,8,0,4,4,0,0,10,0,0,0,6,0,2,0
E. Ocon,38,0,10,0,4,0,0,0,6,0,2,1,0,4,0,1,0,0,0,0,2,0,2,0,6
L. Stroll,33,8,2,0,0,0,4,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,1
Y. Tsunoda,33,0,3,0,2,0,4,1,0,0,0,0,0,0,0,2,0,8,0,8,0,0,0,5,0
P. Gasly,22,0,EX,0,6,0,1,0,0,4,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0
G. Bortoleto,19,0,0,0,0,0,0,0,0,0,0,4,0,2,8,0,4,0,0,0,1,0,0,0,0
F. Colapinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Doohan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
