Piloto,Totales,Tot.,AU,CH,JA,BA,SA,MI,ER,MO,ES,CA,AS,GB,BE,HU,PB,IT,AZ,SI,US,ME,SP,LV,QA,AB,Promedio_GP,STD_GP
L. Norris,423,25,19,18,15,12,26,18,25,18,0,25,25,24,25,0,18,6,15,18,25,33,0,18,15,0,16.92,9.340413980832613
M. Verstappen,421,18,18,25,8,18,12,25,12,1,18,0,10,20,2,18,25,25,18,33,15,20,25,30,25,0,16.84,9.299103899480494
O. Piastri,410,2,32,15,25,25,32,15,15,25,12,18,18,32,18,25,15,0,12,10,10,10,0,26,18,0,16.4,9.81495457622364
G. Russell,319,15,20,10,18,10,20,6,0,12,25,10,1,10,15,12,10,18,25,15,6,18,18,15,10,0,12.76,6.881618026791858
C. Leclerc,242,4,4,12,12,15,6,8,18,15,10,15,0,20,12,0,12,2,8,19,18,4,12,4,12,0,9.68,6.249799996799897
L. Hamilton,156,1,8,6,10,6,10,12,10,8,8,12,12,6,0,0,8,4,4,17,4,2,4,0,4,0,6.24,4.548626166217664
A. K. Antonelli,150,12,10,8,0,8,10,0,0,0,15,0,0,0,1,0,2,12,10,1,8,25,15,0,0,0,5.48,6.801470429252781
A. Albon,73,10,6,2,0,2,10,10,2,0,0,0,4,8,0,10,6,0,0,3,0,0,0,0,0,0,2.92,3.872122587591119
C. Sainz,64,0,1,0,0,4,2,4,1,0,1,0,0,3,0,0,0,15,1,6,0,0,10,16,0,0,2.56,4.574203027122138
F. Alonso,56,0,0,0,0,0,0,0,0,2,6,6,2,0,10,4,0,0,6,1,0,3,0,8,8,0,2.24,3.192177939902473
